MatrixSize,Run,TimeSeconds,RealMemoryMB
64,1,0.00030,4.85938
64,2,0.00029,4.88281
64,3,0.00029,4.88281
64,4,0.00030,4.88281
64,5,0.00030,4.88281
128,1,0.00289,5.28906
128,2,0.00294,5.21875
128,3,0.00276,5.43359
128,4,0.00274,5.37500
128,5,0.00282,5.25000
256,1,0.02503,6.48047
256,2,0.02391,6.46484
256,3,0.02389,6.53516
256,4,0.02378,6.41016
256,5,0.02410,6.52734
512,1,0.20358,11.55469
512,2,0.20797,11.03906
512,3,0.20438,11.04297
512,4,0.20341,11.05078
512,5,0.20587,11.05469
1024,1,1.75338,29.66016
1024,2,1.86548,29.40625
1024,3,1.69238,29.41797
1024,4,1.76384,29.48438
1024,5,1.86875,29.50000
