MatrixSize,Run,TimeSeconds,RealMemoryMB
64,1,0.00242,69.90625
64,2,2.6E-4,80.22656
64,3,1.6E-4,62.46875
64,4,1.6E-4,62.60547
64,5,1.6E-4,65.89453
128,1,0.00137,63.54297
128,2,0.00141,61.40625
128,3,0.00133,62.33984
128,4,0.00135,62.44531
128,5,0.00137,62.47656
256,1,0.01314,63.73438
256,2,0.01287,64.52734
256,3,0.0124,72.87891
256,4,0.01244,78.19922
256,5,0.01227,70.00781
512,1,0.14596,72.82813
512,2,0.14865,72.96875
512,3,0.14908,72.98438
512,4,0.15088,81.125
512,5,0.14559,81.12891
1024,1,1.18764,93.92188
1024,2,1.2365,114.43359
1024,3,1.25422,103.16406
1024,4,1.18122,111.32031
1024,5,1.18831,113.08594
