MatrixSize,Run,TimeSeconds,RealMemoryMB
64,1,0.0237,19.21484
64,2,0.022,19.52344
64,3,0.02201,19.52344
64,4,0.02199,19.52344
64,5,0.022,19.52344
128,1,0.17393,20.82422
128,2,0.16968,22.00391
128,3,0.17302,22.13281
128,4,0.174,22.13281
128,5,0.17464,22.13281
256,1,1.4089,27.66016
256,2,1.39314,31.82031
256,3,1.38291,32.20703
256,4,1.3623,32.46094
256,5,1.38717,32.46484
512,1,12.03454,52.44922
512,2,11.99371,57.20703
512,3,11.94487,58.75
512,4,11.94617,58.77344
512,5,11.96799,59.65234
1024,1,108.19435,151.83984
1024,2,129.88641,157.94922
1024,3,157.1062,158.90625
1024,4,172.15985,158.60547
1024,5,167.54242,161.69141
